timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,position_size_pct,kelly_multiplier
2025-05-23 22:00:00,SELL,107797.37,0.06066001212599709,6538.989771350594,Trend Reversal,17298.64877693822,SELL,,1.0
2025-05-23 23:00:00,SELL,107318.3,0.02339357278894255,2510.5584626355735,Trend Reversal,17280.406454681623,SELL,,1.0
2025-05-24 00:00:00,SELL,107366.68,0.009021746429836506,968.6349619733985,Trend Reversal,17281.116917040814,SELL,,1.0
2025-05-24 01:00:00,SELL,107479.24,0.003479242327736244,373.9463211609224,Trend Reversal,17281.75437765355,SELL,,1.0
2025-05-24 02:00:00,SELL,107803.84,0.0013417720470482,144.64817907645661,Trend Reversal,17282.46332151875,SELL,,1.0
2025-05-24 03:00:00,BUY,108366.3,0.09746283239906606,10561.686534606912,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17282.937071316497,BUY,0.6143493552168817,1.0
2025-05-24 04:00:00,BUY,108485.07,0.03754545415390647,4073.121222068334,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17294.612769724965,BUY,0.6143493552168817,1.0
2025-05-24 05:00:00,SELL,108235.68,0.08345970904785079,9033.318361396281,Trend Reversal,17260.732996493825,SELL,,1.0
2025-05-24 06:00:00,SELL,107959.99,0.0321862906077151,3474.831612146016,Trend Reversal,17246.289360503506,SELL,,1.0
2025-05-24 07:00:00,SELL,107587.75,0.012412663726042154,1335.4505617914917,Trend Reversal,17238.76841186712,SELL,,1.0
2025-05-24 08:00:00,BUY,108251.23,0.09307616078203312,10075.608888332847,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17243.938184949824,BUY,0.6143493552168817,1.0
2025-05-24 09:00:00,BUY,108161.69,0.035924596447855804,3885.6650643680805,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17234.906458346006,BUY,0.6143493552168817,1.0
2025-05-24 10:00:00,BUY,109094.99,0.013735820842779188,1498.509237484787,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17362.575049939478,BUY,0.6143493552168817,1.0
2025-05-24 11:00:00,BUY,109208.56,0.005291719382157103,577.9010536494669,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17379.67056975405,BUY,0.6143493552168817,1.0
2025-05-24 12:00:00,BUY,108776.63,0.0020488584171136793,222.86791396076038,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17312.367149738137,BUY,0.6143493552168817,1.0
2025-05-24 13:00:00,BUY,108590.29,0.0007914994491720739,85.94915472043576,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17282.949828948367,BUY,0.6143493552168817,1.0
2025-05-24 22:00:00,SELL,108100.5,0.0974730128883867,10536.881429741046,Trend Reversal,17205.239473143167,SELL,,1.0
2025-05-24 23:00:00,SELL,107761.91,0.03759053026935952,4050.827339738996,Trend Reversal,17184.52198148175,SELL,,1.0
2025-05-25 00:00:00,SELL,107443.9,0.014496812236117826,1557.59404421622,Trend Reversal,17177.01789407601,SELL,,1.0
2025-05-25 01:00:00,SELL,107656.22,0.0055907049861586375,601.8741659449912,Trend Reversal,17178.95004957122,SELL,,1.0
2025-05-25 02:00:00,SELL,107928.8,0.002156058982704273,232.70085873249297,Trend Reversal,17179.906669045977,SELL,,1.0
2025-05-25 03:00:00,SELL,108095.75,0.0008314855368703371,89.88005272215175,Trend Reversal,17180.13262600223,SELL,,1.0
2025-05-25 04:00:00,BUY,108245.21,0.09718620436913138,10519.941101039543,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17180.21063744901,BUY,0.6143493552168817,1.0
2025-05-25 05:00:00,SELL,108103.98,0.060026944923573834,6489.151653479127,Trend Reversal,17166.411314051715,SELL,,1.0
2025-05-25 06:00:00,SELL,107938.0,0.023149430014136982,2498.7031768659176,Trend Reversal,17160.15698601976,SELL,,1.0
