timestamp,signal,price,btc_amount,usd_amount,reason,regime,risk_mode,portfolio_value
2025-06-03 07:00:00,BUY,105170.75,0.003275293112639234,344.46503312610275,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17163.974620674595
2025-06-03 08:00:00,BUY,105094.93,0.0019665936299273585,206.67901987566165,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17151.97321774153
2025-06-03 09:00:00,BUY,105198.11,0.0011787988579395295,124.007411925397,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17168.50829592942
2025-06-03 10:00:00,BUY,105280.99,0.0007067225256453059,74.4044471552382,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17181.887902902552
2025-06-03 11:00:00,BUY,105287.24,0.0004240083441558817,44.64266829314292,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17182.901279179703
2025-06-09 10:00:00,SELL,107179.7,0.06502568507538041,6969.43341867375,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17490.547549124087
2025-06-09 11:00:00,SELL,107759.21,0.03901541104522824,4204.26987205907,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17547.07210126114
2025-06-09 12:00:00,SELL,107750.39,0.023409246627136945,2522.3554536801903,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17546.555927373007
2025-06-09 13:00:00,BUY,107026.47,0.05143782747147588,5505.209098741089,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17521.136294645534
2025-06-09 14:00:00,BUY,107610.33,0.030695245142772574,3303.125459244654,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17571.670368696607
2025-06-09 15:00:00,BUY,107635.91,0.018412770194880055,1981.8752755467922,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17574.669545487162
2025-06-09 16:00:00,BUY,107915.4,0.011019049786481591,1189.1251653280754,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17612.585078603614
